id,id_area,region,area,palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic
0,1.North-Apulia,1,1,1075,0.75,226,7823,672,36,60,29
1,2.North-Apulia,1,1,1088,0.73,224,7709,781,31,61,29
2,3.North-Apulia,1,1,911,0.54,246,8113,549,31,63,29
3,4.North-Apulia,1,1,966,0.57,240,7952,619,50,78,35
4,5.North-Apulia,1,1,1051,0.67,259,7771,672,50,80,46
5,6.North-Apulia,1,1,911,0.49,268,7924,678,51,70,44
6,7.North-Apulia,1,1,922,0.66,264,7990,618,49,56,29
7,8.North-Apulia,1,1,1100,0.61,235,7728,734,39,64,35
8,9.North-Apulia,1,1,1082,0.6,239,7745,709,46,83,33
9,10.North-Apulia,1,1,1037,0.55,213,7944,633,26,52,30
10,11.North-Apulia,1,1,1051,0.35,219,7978,605,21,65,24
11,12.North-Apulia,1,1,1036,0.59,235,7868,661,30,62,44
12,13.North-Apulia,1,1,1074,0.7,214,7728,747,50,79,33
13,14.North-Apulia,1,1,875,0.52,243,8018,655,41,79,32
14,15.North-Apulia,1,1,952,0.49,254,7795,780,50,75,41
15,16.North-Apulia,1,1,1155,0.98,201,7606,816,32,60,29
16,17.North-Apulia,1,1,943,0.94,183,7840,788,42,75,31
17,18.North-Apulia,1,1,1278,0.69,205,7344,957,45,70,28
18,19.North-Apulia,1,1,961,0.7,195,7958,742,46,75,30
19,20.North-Apulia,1,1,952,0.77,258,7820,736,43,78,33
20,21.North-Apulia,1,1,1074,0.67,236,7692,716,56,83,45
21,22.North-Apulia,1,1,995,0.46,288,7806,679,56,86,40
22,23.North-Apulia,1,1,1056,0.53,247,7703,700,54,89,51
23,24.North-Apulia,1,1,1065,0.39,234,7876,703,42,74,26
24,25.North-Apulia,1,1,1065,0.45,245,7779,696,47,82,38
25,26.Calabria,1,2,1315,1.39,230,7299,832,42,60,32
26,27.Calabria,1,2,1321,1.36,217,7174,950,43,63,30
27,28.Calabria,1,2,1359,1.15,246,7234,874,45,63,18
28,29.Calabria,1,2,1378,1.11,272,7127,940,46,64,23
29,30.Calabria,1,2,1295,1.09,245,7253,903,43,62,38
30,31.Calabria,1,2,1275,1.21,215,7285,892,40,68,41
31,32.Calabria,1,2,1336,1.2,318,7083,915,50,70,38
32,33.Calabria,1,2,1309,1.22,241,7257,870,46,72,35
33,34.Calabria,1,2,1340,1.14,189,7337,820,48,72,21
34,35.Calabria,1,2,1299,1.16,253,7309,823,40,69,27
35,36.Calabria,1,2,1221,1.07,221,7441,798,54,70,28
36,37.Calabria,1,2,1245,0.72,283,7395,829,44,67,28
37,38.Calabria,1,2,1285,1.29,244,7323,819,57,65,36
38,39.Calabria,1,2,1248,1.07,313,7299,840,46,66,33
39,40.Calabria,1,2,1356,1.06,236,7209,866,48,75,36
