순위,역명,일평균
1,강남,"100,672"
2,잠실(2),"88,971"
3,홍대입구,"78,563"
4,신림,"70,558"
5,구로디지털단지,"62,463"
6,신도림,"61,142"
7,고속터미널(3),"60,943"
8,서울역(1),"58,795"
9,삼성,"56,078"
10,선릉,"53,242"
11,서울대입구,"52,856"
12,신촌,"49,724"
13,을지로입구,"48,836"
14,강변,"48,327"
15,종각,"45,507"
16,건대입구(2),"44,952"
17,역삼,"44,784"
18,수유,"43,763"
19,연신내(3),"42,870"
20,혜화,"42,721"
21,사당(2),"42,107"
22,양재,"40,045"
23,명동,"39,979"
24,가산디지털단지(7),"38,762"
25,광화문,"36,837"
26,교대(2),"36,211"
27,종로3가(1),"35,390"
28,남부터미널,"35,280"
29,쌍문,"33,859"
30,압구정,"33,833"
31,합정(2),"32,908"
32,미아사거리,"32,227"
33,충무로(4),"32,077"
34,신사,"30,594"
35,낙성대,"30,518"
36,대림(2),"30,484"
37,회현,"30,409"
38,까치산(5),"30,060"
39,창동,"29,911"
40,사당(4),"29,797"
41,화곡,"29,603"
42,신대방,"28,713"
43,청량리,"27,930"
44,광명사거리,"27,101"
45,잠실새내,"26,566"
46,길음,"26,406"
47,성신여대입구,"26,388"
48,종로5가,"26,335"
49,성수,"26,206"
50,안국,"26,084"
51,동대문(4),"25,363"
52,경복궁,"25,109"
53,오목교,"25,071"
54,시청(1),"25,062"
55,철산,"24,360"
56,시청(2),"24,049"
57,구의,"23,547"
58,동대문역사문화공원(4),"23,443"
59,봉천,"23,377"
60,노원(4),"23,103"
61,여의도(5),"22,526"
62,서초,"22,442"
63,이수(총신대입구),"22,045"
64,상계,"21,903"
65,영등포구청(2),"21,552"
66,고속터미널(7),"21,366"
67,당산,"21,355"
68,노원(7),"21,038"
69,학동,"20,875"
70,천호(5),"20,798"
71,방배,"20,638"
72,구파발,"20,391"
73,하계,"20,391"
74,청담,"20,207"
75,홍제,"20,165"
76,이대,"20,163"
77,왕십리(2),"20,142"
78,을지로3가(2),"20,093"
79,제기동,"19,994"
80,불광(3),"19,607"
81,강동,"19,356"
82,동대문역사문화공원(2),"19,184"
83,논현,"19,019"
84,미아,"18,810"
85,문래,"18,809"
86,천호(8),"18,681"
87,장한평,"18,642"
88,목동,"18,456"
89,암사,"18,130"
90,응암,"17,947"
91,공덕(6),"17,709"
92,수서,"17,524"
93,이태원,"17,459"
94,잠실나루,"17,431"
95,상봉(7),"17,283"
96,서대문,"17,045"
97,숙대입구,"16,981"
98,장지,"16,962"
99,이수(7),"16,927"
100,답십리,"16,916"
101,건대입구(7),"16,838"
102,한성대입구,"16,759"
103,뚝섬,"16,462"
104,어린이대공원,"16,386"
105,신대방삼거리,"16,237"
106,면목,"16,128"
107,남구로,"15,987"
108,사가정,"15,936"
109,중계,"15,891"
110,신설동(1),"15,870"
111,종합운동장,"15,869"
112,우장산,"15,688"
113,동대문(1),"15,660"
114,숭실대입구,"15,328"
115,아차산,"15,273"
116,신당(2),"15,149"
117,합정(6),"14,951"
118,남한산성입구,"14,575"
119,교대(3),"14,568"
120,신정,"14,550"
121,군자(7),"14,547"
122,강남구청,"14,544"
123,종로3가(5),"14,476"
124,광나루,"14,433"
125,약수(3),"14,386"
126,신중동,"14,340"
127,상동,"14,316"
128,수락산,"14,312"
129,내방,"14,204"
130,디지털미디어시티(6),"14,175"
